date,region,product,ai_resolution_rate
2026-06-10,North,Core ERP,77.68
2026-06-10,North,CRM Cloud,73.83
2026-06-10,North,Analytics Suite,79.61
2026-06-10,South,Core ERP,78.4
2026-06-10,South,CRM Cloud,78.8
2026-06-10,South,Analytics Suite,73.43
2026-06-10,East,Core ERP,75.51
2026-06-10,East,CRM Cloud,77.51
2026-06-10,East,Analytics Suite,74.44
2026-06-10,West,Core ERP,73.53
2026-06-10,West,CRM Cloud,75.85
2026-06-10,West,Analytics Suite,75.83
2026-06-11,North,Core ERP,74.9
2026-06-11,North,CRM Cloud,74.2
2026-06-11,North,Analytics Suite,77.48
2026-06-11,South,Core ERP,75.37
2026-06-11,South,CRM Cloud,75.24
2026-06-11,South,Analytics Suite,73.49
2026-06-11,East,Core ERP,80.31
2026-06-11,East,CRM Cloud,74.21
2026-06-11,East,Analytics Suite,80.64
2026-06-11,West,Core ERP,77.95
2026-06-11,West,CRM Cloud,81.51
2026-06-11,West,Analytics Suite,74.48
2026-06-12,North,Core ERP,75.54
2026-06-12,North,CRM Cloud,78.52
2026-06-12,North,Analytics Suite,78.25
2026-06-12,South,Core ERP,76.43
2026-06-12,South,CRM Cloud,73.47
2026-06-12,South,Analytics Suite,77.56
2026-06-12,East,Core ERP,75.05
2026-06-12,East,CRM Cloud,75.88
2026-06-12,East,Analytics Suite,74.11
2026-06-12,West,Core ERP,78.19
2026-06-12,West,CRM Cloud,68.18
2026-06-12,West,Analytics Suite,74.04
2026-06-13,North,Core ERP,76.89
2026-06-13,North,CRM Cloud,78.55
2026-06-13,North,Analytics Suite,77.58
2026-06-13,South,Core ERP,75.34
2026-06-13,South,CRM Cloud,72.33
2026-06-13,South,Analytics Suite,79.36
2026-06-13,East,Core ERP,75.87
2026-06-13,East,CRM Cloud,76.74
2026-06-13,East,Analytics Suite,71.94
2026-06-13,West,Core ERP,76.46
2026-06-13,West,CRM Cloud,75.32
2026-06-13,West,Analytics Suite,75.68
2026-06-14,North,Core ERP,76.84
2026-06-14,North,CRM Cloud,76.34
2026-06-14,North,Analytics Suite,71.52
2026-06-14,South,Core ERP,72.62
2026-06-14,South,CRM Cloud,75.37
2026-06-14,South,Analytics Suite,74.75
2026-06-14,East,Core ERP,77.21
2026-06-14,East,CRM Cloud,73.7
2026-06-14,East,Analytics Suite,74.19
2026-06-14,West,Core ERP,73.94
2026-06-14,West,CRM Cloud,74.3
2026-06-14,West,Analytics Suite,82.87
2026-06-15,North,Core ERP,80.31
2026-06-15,North,CRM Cloud,82.54
2026-06-15,North,Analytics Suite,77.36
2026-06-15,South,Core ERP,79.06
2026-06-15,South,CRM Cloud,72.74
2026-06-15,South,Analytics Suite,74.11
2026-06-15,East,Core ERP,72.21
2026-06-15,East,CRM Cloud,76.7
2026-06-15,East,Analytics Suite,72.49
2026-06-15,West,Core ERP,75.42
2026-06-15,West,CRM Cloud,76.65
2026-06-15,West,Analytics Suite,75.27
2026-06-16,North,Core ERP,76.79
2026-06-16,North,CRM Cloud,74.84
2026-06-16,North,Analytics Suite,75.96
2026-06-16,South,Core ERP,77.24
2026-06-16,South,CRM Cloud,82.79
2026-06-16,South,Analytics Suite,78.15
2026-06-16,East,Core ERP,77.45
2026-06-16,East,CRM Cloud,79.12
2026-06-16,East,Analytics Suite,76.77
2026-06-16,West,Core ERP,76.24
2026-06-16,West,CRM Cloud,76.2
2026-06-16,West,Analytics Suite,76.94
2026-06-17,North,Core ERP,77.68
2026-06-17,North,CRM Cloud,73.46
2026-06-17,North,Analytics Suite,78.08
2026-06-17,South,Core ERP,76.12
2026-06-17,South,CRM Cloud,74.48
2026-06-17,South,Analytics Suite,72.57
2026-06-17,East,Core ERP,73.12
2026-06-17,East,CRM Cloud,79.34
2026-06-17,East,Analytics Suite,75.77
2026-06-17,West,Core ERP,73.63
2026-06-17,West,CRM Cloud,77.66
2026-06-17,West,Analytics Suite,79.31
2026-06-18,North,Core ERP,78.78
2026-06-18,North,CRM Cloud,76.58
2026-06-18,North,Analytics Suite,79.6
2026-06-18,South,Core ERP,78.02
2026-06-18,South,CRM Cloud,70.87
2026-06-18,South,Analytics Suite,75.84
2026-06-18,East,Core ERP,81.64
2026-06-18,East,CRM Cloud,77.37
