month,region,customer_segment,active_customers,retained_customers
2026-01,North,Enterprise,149,146
2026-01,North,Mid-Market,817,799
2026-01,North,SMB,4003,3805
2026-01,South,Enterprise,130,128
2026-01,South,Mid-Market,647,629
2026-01,South,SMB,3197,3043
2026-01,East,Enterprise,96,93
2026-01,East,Mid-Market,557,542
2026-01,East,SMB,2729,2595
2026-01,West,Enterprise,124,123
2026-01,West,Mid-Market,642,628
2026-01,West,SMB,3198,3043
2026-02,North,Enterprise,152,152
2026-02,North,Mid-Market,812,790
2026-02,North,SMB,4030,3831
2026-02,South,Enterprise,127,125
2026-02,South,Mid-Market,665,648
2026-02,South,SMB,3222,3067
2026-02,East,Enterprise,111,109
2026-02,East,Mid-Market,555,540
2026-02,East,SMB,2737,2605
2026-02,West,Enterprise,111,111
2026-02,West,Mid-Market,665,647
2026-02,West,SMB,3220,3063
2026-03,North,Enterprise,145,141
2026-03,North,Mid-Market,822,800
2026-03,North,SMB,4063,3859
2026-03,South,Enterprise,123,121
2026-03,South,Mid-Market,664,647
2026-03,South,SMB,3261,3099
2026-03,East,Enterprise,110,109
2026-03,East,Mid-Market,550,537
2026-03,East,SMB,2756,2621
2026-03,West,Enterprise,121,120
2026-03,West,Mid-Market,660,646
2026-03,West,SMB,3252,3092
2026-04,North,Enterprise,159,159
2026-04,North,Mid-Market,823,802
2026-04,North,SMB,4090,3878
2026-04,South,Enterprise,129,129
2026-04,South,Mid-Market,660,639
2026-04,South,SMB,3277,3106
2026-04,East,Enterprise,101,100
2026-04,East,Mid-Market,559,544
2026-04,East,SMB,2781,2637
2026-04,West,Enterprise,125,122
2026-04,West,Mid-Market,672,653
2026-04,West,SMB,3271,3099
2026-05,North,Enterprise,145,140
2026-05,North,Mid-Market,831,804
2026-05,North,SMB,4126,3886
2026-05,South,Enterprise,119,117
2026-05,South,Mid-Market,676,651
2026-05,South,SMB,3308,3119
2026-05,East,Enterprise,100,96
2026-05,East,Mid-Market,566,545
2026-05,East,SMB,2805,2643
2026-05,West,Enterprise,121,118
2026-05,West,Mid-Market,668,648
2026-05,West,SMB,3301,3109
2026-06,North,Enterprise,162,159
2026-06,North,Mid-Market,840,808
2026-06,North,SMB,4167,3919
2026-06,South,Enterprise,133,131
2026-06,South,Mid-Market,677,650
2026-06,South,SMB,3318,3117
2026-06,East,Enterprise,116,114
2026-06,East,Mid-Market,577,554
2026-06,East,SMB,2827,2654
2026-06,West,Enterprise,129,128
2026-06,West,Mid-Market,683,659
2026-06,West,SMB,3324,3126
