week_start,region,product,customer_segment,survey_responses,csat_score
2025-12-29,East,Analytics Suite,Enterprise,4,74.2
2025-12-29,East,Analytics Suite,Mid-Market,13,75.2
2025-12-29,East,Analytics Suite,SMB,49,72.8
2025-12-29,East,CRM Cloud,Enterprise,3,80.5
2025-12-29,East,CRM Cloud,Mid-Market,12,79.9
2025-12-29,East,CRM Cloud,SMB,35,77.4
2025-12-29,East,Core ERP,Enterprise,3,86.3
2025-12-29,East,Core ERP,Mid-Market,10,84.4
2025-12-29,East,Core ERP,SMB,42,81.6
2025-12-29,North,Analytics Suite,Enterprise,5,73.1
2025-12-29,North,Analytics Suite,Mid-Market,21,75.5
2025-12-29,North,Analytics Suite,SMB,63,76.1
2025-12-29,North,CRM Cloud,Enterprise,6,79.7
2025-12-29,North,CRM Cloud,Mid-Market,17,80.2
2025-12-29,North,CRM Cloud,SMB,48,76.6
2025-12-29,North,Core ERP,Enterprise,5,85.1
2025-12-29,North,Core ERP,Mid-Market,19,84.3
2025-12-29,North,Core ERP,SMB,56,79.9
2025-12-29,South,Analytics Suite,Enterprise,5,76.6
2025-12-29,South,Analytics Suite,Mid-Market,17,75.1
2025-12-29,South,Analytics Suite,SMB,53,72.1
2025-12-29,South,CRM Cloud,Enterprise,6,80.9
2025-12-29,South,CRM Cloud,Mid-Market,18,79.1
2025-12-29,South,CRM Cloud,SMB,51,79.6
2025-12-29,South,Core ERP,Enterprise,5,84.8
2025-12-29,South,Core ERP,Mid-Market,12,85.3
2025-12-29,South,Core ERP,SMB,51,82.4
2025-12-29,West,Analytics Suite,Enterprise,6,73.5
2025-12-29,West,Analytics Suite,Mid-Market,14,76.5
2025-12-29,West,Analytics Suite,SMB,32,74.2
2025-12-29,West,CRM Cloud,Enterprise,5,82.4
2025-12-29,West,CRM Cloud,Mid-Market,20,80.4
2025-12-29,West,CRM Cloud,SMB,48,80.1
2025-12-29,West,Core ERP,Enterprise,5,82.6
2025-12-29,West,Core ERP,Mid-Market,16,83.3
2025-12-29,West,Core ERP,SMB,57,83.0
2026-01-05,East,Analytics Suite,Enterprise,5,71.8
2026-01-05,East,Analytics Suite,Mid-Market,31,72.0
2026-01-05,East,Analytics Suite,SMB,88,71.3
2026-01-05,East,CRM Cloud,Enterprise,7,84.2
2026-01-05,East,CRM Cloud,Mid-Market,26,81.4
2026-01-05,East,CRM Cloud,SMB,56,79.0
