date,region,product,customer_segment,agent_team,ai_assisted,contacts,resolved_contacts,first_contact_resolutions,repeat_contacts,total_handling_seconds
2026-01-01,North,Core ERP,Enterprise,Alpha,False,9,9,7,0,4177
2026-01-01,North,Core ERP,Enterprise,Beta,False,8,8,5,0,3748
2026-01-01,North,Core ERP,Enterprise,Gamma,False,5,4,4,0,2065
2026-01-01,North,Core ERP,Mid-Market,Alpha,False,26,26,23,7,12900
2026-01-01,North,Core ERP,Mid-Market,Beta,False,31,31,21,4,13229
2026-01-01,North,Core ERP,Mid-Market,Gamma,False,23,21,13,4,10146
2026-01-01,North,Core ERP,SMB,Alpha,False,50,50,41,6,21597
2026-01-01,North,Core ERP,SMB,Beta,False,80,79,58,8,38162
2026-01-01,North,Core ERP,SMB,Gamma,False,47,46,31,7,18728
2026-01-01,North,CRM Cloud,Enterprise,Alpha,False,5,4,2,1,2274
2026-01-01,North,CRM Cloud,Enterprise,Beta,False,7,6,6,0,3148
2026-01-01,North,CRM Cloud,Enterprise,Gamma,False,1,1,1,0,651
2026-01-01,North,CRM Cloud,Mid-Market,Alpha,False,26,25,21,3,15670
2026-01-01,North,CRM Cloud,Mid-Market,Beta,False,25,24,17,3,14223
2026-01-01,North,CRM Cloud,Mid-Market,Gamma,False,34,33,24,3,21616
2026-01-01,North,CRM Cloud,SMB,Alpha,False,57,55,39,10,33489
2026-01-01,North,CRM Cloud,SMB,Beta,False,87,85,66,7,47433
2026-01-01,North,CRM Cloud,SMB,Gamma,False,85,84,59,17,52766
2026-01-01,North,Analytics Suite,Enterprise,Alpha,False,8,8,4,3,6272
2026-01-01,North,Analytics Suite,Enterprise,Beta,False,6,6,5,1,4555
2026-01-01,North,Analytics Suite,Enterprise,Gamma,False,8,8,6,1,6469
2026-01-01,North,Analytics Suite,Mid-Market,Alpha,False,28,28,16,0,22470
2026-01-01,North,Analytics Suite,Mid-Market,Beta,False,26,26,16,7,19365
2026-01-01,North,Analytics Suite,Mid-Market,Gamma,False,26,26,18,4,20319
2026-01-01,North,Analytics Suite,SMB,Alpha,False,67,66,43,16,51449
2026-01-01,North,Analytics Suite,SMB,Beta,False,42,42,16,8,31087
2026-01-01,North,Analytics Suite,SMB,Gamma,False,42,42,24,10,34297
2026-01-01,South,Core ERP,Enterprise,Alpha,False,8,8,6,1,3542
2026-01-01,South,Core ERP,Enterprise,Beta,False,5,5,2,0,2116
2026-01-01,South,Core ERP,Enterprise,Gamma,False,1,1,1,0,514
2026-01-01,South,Core ERP,Mid-Market,Alpha,False,16,16,13,2,7204
2026-01-01,South,Core ERP,Mid-Market,Beta,False,13,13,10,3,5414
2026-01-01,South,Core ERP,Mid-Market,Gamma,False,12,12,8,2,5541
2026-01-01,South,Core ERP,SMB,Alpha,False,34,34,22,7,15867
2026-01-01,South,Core ERP,SMB,Beta,False,41,41,27,6,18169
2026-01-01,South,Core ERP,SMB,Gamma,False,59,59,48,10,28403
2026-01-01,South,CRM Cloud,Enterprise,Alpha,False,6,6,4,1,3422
2026-01-01,South,CRM Cloud,Enterprise,Beta,False,5,5,5,1,2685
2026-01-01,South,CRM Cloud,Enterprise,Gamma,False,6,6,5,0,3623
2026-01-01,South,CRM Cloud,Mid-Market,Alpha,False,27,27,16,4,16318
2026-01-01,South,CRM Cloud,Mid-Market,Beta,False,14,14,9,1,7389
2026-01-01,South,CRM Cloud,Mid-Market,Gamma,False,12,12,4,2,7547
2026-01-01,South,CRM Cloud,SMB,Alpha,False,40,39,28,6,23250
2026-01-01,South,CRM Cloud,SMB,Beta,False,68,67,49,13,38876
2026-01-01,South,CRM Cloud,SMB,Gamma,False,36,35,25,3,22231
2026-01-01,South,Analytics Suite,Enterprise,Alpha,False,4,4,3,2,3166
2026-01-01,South,Analytics Suite,Enterprise,Beta,False,3,3,2,0,2060
2026-01-01,South,Analytics Suite,Enterprise,Gamma,False,8,8,5,3,6664
2026-01-01,South,Analytics Suite,Mid-Market,Alpha,False,13,12,8,3,9384
2026-01-01,South,Analytics Suite,Mid-Market,Beta,False,12,12,4,4,8744
2026-01-01,South,Analytics Suite,Mid-Market,Gamma,False,19,19,14,4,15291
2026-01-01,South,Analytics Suite,SMB,Alpha,False,40,38,27,8,30881
2026-01-01,South,Analytics Suite,SMB,Beta,False,70,70,43,18,51644
2026-01-01,South,Analytics Suite,SMB,Gamma,False,62,62,43,13,49873
2026-01-01,East,Core ERP,Enterprise,Alpha,False,6,6,5,0,2679
2026-01-01,East,Core ERP,Enterprise,Beta,False,4,4,1,1,1809
2026-01-01,East,Core ERP,Enterprise,Gamma,False,7,7,4,0,3154
2026-01-01,East,Core ERP,Mid-Market,Alpha,False,21,21,19,4,8643
2026-01-01,East,Core ERP,Mid-Market,Beta,False,14,14,11,1,5976
2026-01-01,East,Core ERP,Mid-Market,Gamma,False,22,22,16,3,9779
2026-01-01,East,Core ERP,SMB,Alpha,False,55,54,38,7,24394
2026-01-01,East,Core ERP,SMB,Beta,False,29,29,21,6,14440
2026-01-01,East,Core ERP,SMB,Gamma,False,47,46,35,9,20886
2026-01-01,East,CRM Cloud,Enterprise,Alpha,False,2,1,1,0,663
2026-01-01,East,CRM Cloud,Enterprise,Beta,False,6,6,5,2,3332
2026-01-01,East,CRM Cloud,Enterprise,Gamma,False,2,2,1,0,1272
2026-01-01,East,CRM Cloud,Mid-Market,Alpha,False,12,11,5,2,6570
2026-01-01,East,CRM Cloud,Mid-Market,Beta,False,10,10,7,2,5548
2026-01-01,East,CRM Cloud,Mid-Market,Gamma,False,11,11,8,1,7274
2026-01-01,East,CRM Cloud,SMB,Alpha,False,35,35,25,5,21240
2026-01-01,East,CRM Cloud,SMB,Beta,False,41,41,35,9,23075
2026-01-01,East,CRM Cloud,SMB,Gamma,False,34,34,19,9,22291
2026-01-01,East,Analytics Suite,Enterprise,Alpha,False,3,3,2,1,2178
2026-01-01,East,Analytics Suite,Enterprise,Beta,False,6,6,3,0,4365
2026-01-01,East,Analytics Suite,Enterprise,Gamma,False,2,2,0,0,1512
2026-01-01,East,Analytics Suite,Mid-Market,Alpha,False,11,11,5,4,9164
2026-01-01,East,Analytics Suite,Mid-Market,Beta,False,15,15,11,3,11513
2026-01-01,East,Analytics Suite,Mid-Market,Gamma,False,13,13,6,5,10555
2026-01-01,East,Analytics Suite,SMB,Alpha,False,38,37,23,7,30332
2026-01-01,East,Analytics Suite,SMB,Beta,False,58,58,36,12,41317
2026-01-01,East,Analytics Suite,SMB,Gamma,False,36,36,20,8,29832
2026-01-01,West,Core ERP,Enterprise,Alpha,False,4,4,2,0,1700
2026-01-01,West,Core ERP,Enterprise,Beta,False,5,4,4,2,1482
2026-01-01,West,Core ERP,Enterprise,Gamma,False,8,8,5,0,3923
2026-01-01,West,Core ERP,Mid-Market,Alpha,False,24,24,17,5,10153
2026-01-01,West,Core ERP,Mid-Market,Beta,False,22,22,17,1,10412
2026-01-01,West,Core ERP,Mid-Market,Gamma,False,14,14,11,1,6297
2026-01-01,West,Core ERP,SMB,Alpha,False,59,59,45,8,25001
2026-01-01,West,Core ERP,SMB,Beta,False,65,62,50,12,27885
2026-01-01,West,Core ERP,SMB,Gamma,False,37,36,28,9,18604
2026-01-01,West,CRM Cloud,Enterprise,Alpha,False,7,7,5,0,4442
2026-01-01,West,CRM Cloud,Enterprise,Beta,False,3,3,3,0,1676
2026-01-01,West,CRM Cloud,Enterprise,Gamma,False,4,4,3,1,2558
2026-01-01,West,CRM Cloud,Mid-Market,Alpha,False,20,20,15,2,12115
2026-01-01,West,CRM Cloud,Mid-Market,Beta,False,12,12,7,0,6959
2026-01-01,West,CRM Cloud,Mid-Market,Gamma,False,25,25,18,5,15556
2026-01-01,West,CRM Cloud,SMB,Alpha,False,44,43,32,4,27124
2026-01-01,West,CRM Cloud,SMB,Beta,False,59,58,39,7,33348
2026-01-01,West,CRM Cloud,SMB,Gamma,False,73,69,51,7,46803
2026-01-01,West,Analytics Suite,Enterprise,Alpha,False,5,5,3,2,4091
2026-01-01,West,Analytics Suite,Enterprise,Beta,False,4,4,1,1,2940
2026-01-01,West,Analytics Suite,Enterprise,Gamma,False,8,7,5,1,6031
2026-01-01,West,Analytics Suite,Mid-Market,Alpha,False,22,22,15,4,17401
2026-01-01,West,Analytics Suite,Mid-Market,Beta,False,14,14,5,3,9979
